name,line
Phineas, We don't have time to explain. We've got to try and stop an evil d--
Candace, Uh-oh. It's too late!
Old Woman, Oh my!
Normbot," All vehicles must stop. (It grabs a car and throws it, it impacts into a wall)"
Danny," Oh, great. Albuquerque '93 all over again."
Phineas," I wish alternate dimension Candace was here, she took out like thirty of those guys with a lawn gnome."
Major Monogram," Agent P, our agents are being overwhelmed by the sheer number of robots coming into our dimension. You must get to Doof's headquarters and stop him!"
Phineas," Aye aye, sir! We're ready to serve!"
Major Monogram," Oh no, you kids need to go home, where it's safe!"
Phineas," With all due respect, sir, we've been through quite a lot together. We're a team now."
Major Monogram," Nope, far too dangerous. And besides, our insurance won't cover it. Tell 'em, Agent P."
Phineas," Come on, Perry. Let's go kick some robot chassis!"
DEI," Doofenshmirtz runs to the front door. He pats himself down and then pulls on the door. It's locked, he pushes a button on the intercom.)"
 Thompson, Hello?
Doofenshmirtz," Hello, Mrs. Thompson. It's me, Heinz. I think I left my keys in the other dimension. Can you buzz me in?"
 Thompson, Who is this?
Doofenshmirtz," Heinz Doofenshmirtz, your neighbor, for like 12 years."
 Thompson, Who?
Doofenshmirtz, I live in the penthouse. I wear lab coats a lot. Speak with the accent I am currently speaking to you with.
 Thompson, Just like my neighbor upstairs.
Doofenshmirtz," Yes, exactly!"
 Thompson," Oh, he's not home. You'll have to come back later."
Doofenshmirtz," No no, wait... (she hangs up) Aww!"
nd dimension," 2nd Dimension Candace is in a cell, bouncing a ball against a wall)"
st dimension, Stacy is on her knees next to the altar)
Stacy," Oh, mysterious force, you can see I'm really trying here, please bring back Candace!"
Candace," Oh, hi, Stacy."
Stacy, And I also want a car!
Phineas," I still can't believe Perry wanted us to go home. I mean, look at this!"
Reporter, There's robots all over the Tri-State Area! And now for the weather.
Weatherman," There's robots, Phil! ROBOTS! (he screams and runs)"
Phineas," You'd think he'd need all the help he can ge-- (He hears a beeping sound) Hey, what's that? Ferb, do you hear that?"
Computer," (Female voice) Welcome, Phineas and Ferb. Please insert the key."
Phineas, (to Ferb) Do you have a key? (Ferb takes out a pitch pipe and blows a note)
Computer, Please insert the key.
Phineas, Good try.
Computer," Please insert the key. Please insert the key. (it points down, showing a keyhole shaped like Perry's unfolded locket)"
Phineas, That's odd. It's a shaped keyhole. It kinda looks like—wait a minute!
Computer," Phineas and Ferb, this message is top secret, for your ears only. If you're hearing this, the Tri-State Area is at an emergency alert level Alpha Red. Agent P needs your help."
Phineas, How does he know we'll know what to do?
Computer," He knows you will know what to do. He also knows you are the only ones capable of helping him, because you two are the only ones capable of creating these."
Voice, Auto scan replication initiated.
Phineas," Ferb, I think I know what we're gonna do today!"
Normbots, You have a new leader. Put on your Dooferalls.
Normbot, 36 inch waist.
Phineas," So, I guess you trusted us after all. (Perry smiles)"
Baljeet," Oh, I was wrong, it was not for me!"
Buford," Heads up, platy-posterior coming through!"
Candace, Now this is what I call busting!
Phineas," Alright, everyone! Let's kick some robot chassis!"
Buford, Yeah!
Baljeet, Alright! That is very good!
Isabella, Yay!
Danny, Phineas! Anything we can do?
Phineas, Yeah! Musical accompaniment!
Song, Robot Riot)
Isabella, Yes!
Phineas, We gotta do something about that portal!
Phineas," Ferb, we're going to try and stop the portal!"
Candace," I was wrong, Stacy, about everything. I'm not a grown-up. I can't control mysterious forces. I can't even get my mom to see what my brothers are doing! (she smiles) Stacy, that's it! I can't get my mom to see what my brothers are doing! (she runs off)"
Stacy," Candace, where are you going?"
Candace, I'm gonna bust my brothers to my mom! And I'm gonna fail!
DEI," Doofenshmirtz is still at the front door, talking to Mrs. Thompson on the intercom)"
Doofenshmirtz," No, it's Heinz Doofenshmirtz. You borrowed sugar from me this morning!"
 Thompson, I don't have any sugar. I had to borrow some from my neighbor this morning.
Doofenshmirtz," Yeah, that's me. That's..."
 Thompson," Oh, he's a nice man, but I hear he's divorced."
Doofenshmirtz," Oh, THAT she remembers."
Candace," Psst, mom!"
Linda," Candace, what are you doing here?"
Candace, You've got to come outside and bust the boys!
Linda, I'm not leaving now. The girl is about to forgive the guy for the clichéd misunderstanding... (a Normbot tears through the screen) After she battles these robots.
Lawrence," Whoa, this 3-D is amazing!"
Isabella," Ferb, we'll handle things down here! (she fires, hitting a bot) Go help Phineas!"
Phineas," Oh, so that dish must be what's controlling the robots! Maybe I don't need to close the portal if I can just take out that... (he sees the baseball launcher) Oh, yeah!"
 Try saying that five times fast," boyborg, boyborg, boyborg, boyborg, boyborg, boyborg... eh, I guess its not that hard. Never mind."
Isabella," It's weird that Perry's a secret agent, huh?"
Buford," Yeah, but it was obvious in retrospect."
Baljeet, Has anyone seen my pants?
Buford," Yeah, they're over there."
Irving, WOLVERINES!
Candace," Mom, if you care one iota about me, your family, and your city, you'll come outside with me right now!"
Linda," Well, I guess I could use some more popcorn."
Candace," Great! (she pulls her out) Come on, come on, come on, come on!"
Phineas," Ferb, bro! I just hit the best home run ever!"
Doofenshmirtz, Hey!
Doofenshmirtz, I got a little something just for you...
Doofenshmirtz," Yeah, it's mine. See, I told you I never lost it. It was in a box in my pantry labeled ""VHS Tapes"". Go figure. Anyway, you can have it."
Doofenshmirtz," Eh, it's the least I can do."
Doofenshmirtz," Aw, you."
Candace," Come on, come on, come on! Come on, hurry! Hurry! (she motions for her to look)"
Linda, Do I even need to say there's nothing there anymore?
Candace," Mom, you can say it all you want! (hugs her and does a little dance) There's nothing there! Woo hoo! I did it! I saved the world! (she stops and smiles, pause) You can go back to your movie now."
Candace," Hey, did you guys just see that? I saved Danville!"
Candace," So, what will you do now?"
Candace," Well, I know what interests I'd pursue. (she points to 2nd Dimension Jeremy as he comes out of the portal)"
Candace," You know, after all of this, I'm gonna to give myself a little more time to be young. It's not such a bad place to be."
Phineas, Uh-oh.
Phineas, Sorry he's mostly made of metal now.
Phineas, I'm glad we could help.
Phineas," Man, this was the greatest day ever. Imagine how much fun we can have together now that we know you're a secret agent!"
Major Monogram," Yes yes, the next 15 minutes should be a real hoot. Then, of course, Agent P will be sent away forever."
Phineas, What?
Major Monogram, You didn't know? Didn't he give you a pamphlet?
Phineas, We threw it away.
Major Monogram, Does anyone read those things?
Carl," I tried to warn you, sir."
Major Monogram," Kids, I'm sorry, but now that Agent P's cover has been blown, you won't be allowed to see him anymore."
Phineas, That's why you didn't want us to know your secret. (Perry nods) So we'll never see Perry again? There has to be another way!
Major Monogram," Sorry, Phineas. It isn't safe, you know too much."
Phineas, Now I never wished so much that I could un-know something.
Carl," Sir, maybe there is a way. What about Dr. Doofenshmirtz's Amnesia-nator?"
Doofenshmirtz, I never built an Amnesia-nator. I think I'd remember building something like that.
Major Monogram," Well, that might work, but you'd all have to agree."
Phineas," So our choice is to: either forget the best day ever, forget the greatest adventure we've ever had, and forget meeting Agent P, or remember today, but never see Perry again?"
Ferb," Well, we've had a lot of great days, but we only have one Perry."
Phineas, Agreed.
All, Yeah.
Major Monogram," (from inside) Alright, everybody, tall kids in the back. (zooms to the inside of the lab) Just need to do a little more programming here, and we'll be ready to roll."
Phineas," Hey, buddy. Ferb and I just wanted to say our goodbyes. You know, we thought we'd met the real you when we found out you were Agent P. But the fact is, pet, secret agent, they're both the real you. You are now, and always have been a great pet, and a great friend. We're going to miss you, Agent P. (Perry hugs Ferb, then hugs Phineas) I love you, pal."
Carl," Sir, are you crying?"
Major Monogram," No, I'm sweating through my eyes."
Phineas," Okay, sir, we're ready. (They walk back. Perry walks up to Major Monogram.)"
Major Monogram," Okay, Carl, we're all set."
Isabella," Uh, Major Monogram?"
Major Monogram," (offscreen) Uh, yes?"
Isabella," So, none of us will remember any of today?"
Major Monogram, That's right.
Isabella," (firmly) Good. (she grabs him and kisses him right on the lips, Phineas gasps)"
Phineas, (surprised) Isabella!
Isabella," Hit it, Carl!"
Phineas, Wait! Wait! Wait!
Song, Takin' Care of Things)
Song, Kick It Up A Notch)
Phineas, Oh yeah!
Ferb, [[#ref_{{{1}}}|^]] Kick it up a notch[[#ref_{{{1}}}|^]]
Phineas," [[#ref_{{{1}}}|^]] Oh, man, you know it's true[[#ref_{{{1}}}|^]]"
Ferb, [[#ref_{{{1}}}|^]] Gonna kick it up a notch[[#ref_{{{1}}}|^]]
Phineas, [[#ref_{{{1}}}|^]] We're gonna push on through[[#ref_{{{1}}}|^]]
Ferb, [[#ref_{{{1}}}|^]] Kick it up a notch[[#ref_{{{1}}}|^]]
Phineas, [[#ref_{{{1}}}|^]] We're not content to go with the flow[[#ref_{{{1}}}|^]]
Ferb, [[#ref_{{{1}}}|^]] Kick it up a notch[[#ref_{{{1}}}|^]]
Ferb, [[#ref_{{{1}}}|^]] Kick it up a notch[[#ref_{{{1}}}|^]]
Ferb, [[#ref_{{{1}}}|^]] Kick it up a notch[[#ref_{{{1}}}|^]]
Ferb, [[#ref_{{{1}}}|^]] Kick it up a notch[[#ref_{{{1}}}|^]]
Phineas," [[#ref_{{{1}}}|^]] Oh, man, you know that's true[[#ref_{{{1}}}|^]]"
Ferb, [[#ref_{{{1}}}|^]] Gonna kick it up a notch[[#ref_{{{1}}}|^]]
Phineas, [[#ref_{{{1}}}|^]] We're gonna push on through[[#ref_{{{1}}}|^]]
Ferb, [[#ref_{{{1}}}|^]] Kick it up a notch[[#ref_{{{1}}}|^]]
Phineas, [[#ref_{{{1}}}|^]] Not gonna go with the flow[[#ref_{{{1}}}|^]]
